Model,Question,Ground Truth,Predicted Answer,Confidence Score,Exact Match,Token F1 Score,Partial F1 Score,Semantic Similarity Score,Error Type
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","In                            order  to  maintain  the  exclusive  rights  to sell,                            lease, distribute and service Products in the Market,                            the Distributor must use all commercially  reasonably                            efforts to purchase for sale to  subdistributors  the                            following minimum quantities of the Products from the                            Company:

         On the  commencement of the Term  Distributor will issue to the Company an  irrevocable  letter of credit (""LC"") in the amount of Five Hundred  Thousand Dollars  ($500,000),  the form of which is  attached  hereto  as  Exhibit  A and incorporated  herein by reference.",months,0.0047952947206795216,0,0.0,0.2,0.09164807200431824,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?",Company's representatives will                            make themselves available three days per month in the                            first   Product   Year  to  consult  with  and  train                            Distributor.,The Samples  purchased by          Distributor hereunder shall count toward the minimum expectations,0.006979675032198429,0,0.060606060606060615,0.1774242424242424,0.32896140217781067,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?",Company's representatives will                            make themselves available three days per month in the                            first   Product   Year  to  consult  with  and  train                            Distributor.,months,0.0047952947206795216,0,0.0,0.25000000000000006,0.42335090041160583,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","If the  Distributor  shall fail to purchase the minimum number of units in any year, the  Distributor's  exclusive rights to sell and distribute the Product in the Market,  may at Company's sole option, be reevaluated.",The Samples  purchased by          Distributor hereunder shall count toward the minimum expectations,0.006979675032198429,0,0.1702127659574468,0.2796584903103401,0.42701560258865356,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","If the  Distributor  shall fail to purchase the minimum number of units in any year, the  Distributor's  exclusive rights to sell and distribute the Product in the Market,  may at Company's sole option, be reevaluated.",months,0.0047952947206795216,0,0.0,0.15,0.11835099756717682,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","A minimum of a $250,000.00  purchase  order  must be  received  by Company by the first of each month for a total (12) month  period.",The Samples  purchased by          Distributor hereunder shall count toward the minimum expectations,0.006979675032198429,0,0.16666666666666666,0.24639639639639638,0.35161203145980835,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","A minimum of a $250,000.00  purchase  order  must be  received  by Company by the first of each month for a total (12) month  period.",months,0.0047952947206795216,0,0.0,0.25000000000000006,0.22379978001117706,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","(A)    375 units in the first Product Year (1999)

                  (B)    750 units in the next succeeding Product Year; (2000)

                  (C)    937 units in the next succeeding Product Year; (2001)

                  (D)    1,171 units in the next succeeding Product Year; (2002)

                  (E)    1,463 units in the next succeeding Product Year; (2003)

                  (F)    1,828 units in the next succeeding Product Year; (2004)

                  (G)    2,285 units in the next succeeding Product Year; (2005)

                  (H)    2,856  unit each in the lat  three  years of                          the initial Term of this  Agreement  and any                          renewals thereof.",The Samples  purchased by          Distributor hereunder shall count toward the minimum expectations,0.006979675032198429,0,0.019801980198019802,0.1396098891326258,0.33745548129081726,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?","(A)    375 units in the first Product Year (1999)

                  (B)    750 units in the next succeeding Product Year; (2000)

                  (C)    937 units in the next succeeding Product Year; (2001)

                  (D)    1,171 units in the next succeeding Product Year; (2002)

                  (E)    1,463 units in the next succeeding Product Year; (2003)

                  (F)    1,828 units in the next succeeding Product Year; (2004)

                  (G)    2,285 units in the next succeeding Product Year; (2005)

                  (H)    2,856  unit each in the lat  three  years of                          the initial Term of this  Agreement  and any                          renewals thereof.",months,0.0047952947206795216,0,0.0,0.15,0.3080223798751831,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",,Illinois,0.0015315355267375708,0,0.0,0.0,0.2341780960559845,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",,vendor and vendee,0.0045819757506251335,0,0.0,0.0,0.15855582058429718,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",,Products  do not  cause  harmful  emissions  or other                            environmental  hazards,0.0016992728924378753,0,0.0,0.0,0.02679801546037197,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",,months,0.0012677829945459962,0,0.0,0.0,0.36453211307525635,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",,there  terms for                            Illinois,0.007150090765208006,0,0.0,0.0,0.15834756195545197,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",,"Page -8-

                 ",0.0016303969314321876,0,0.0,0.0,0.3000180125236511,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement.",No License,0.007349180523306131,0,0.0,0.15,0.232392817735672,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement.",without the prior written consent of the Company,0.015027813613414764,0,0.11320754716981134,0.21407674369302523,0.3608362078666687,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","The Company  hereby grants the  Distributor                            the right to do business  and use the name  ""Electric                            City of  Illinois""  or a  similar  variation  thereof                            (collectively   the   ""Names"")  for  use  under  this                            Agreement.",No License,0.007349180523306131,0,0.0,0.15,0.23016251623630524,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?","The Company  hereby grants the  Distributor                            the right to do business  and use the name  ""Electric                            City of  Illinois""  or a  similar  variation  thereof                            (collectively   the   ""Names"")  for  use  under  this                            Agreement.",without the prior written consent of the Company,0.015027813613414764,0,0.15,0.23625000000000002,0.342770516872406,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",,No License,0.018337344750761986,0,0.0,0.0,0.22444242238998413,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",,months,0.008768001571297646,0,0.0,0.0,0.36453211307525635,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor?",,No License,0.002263409551233053,0,0.0,0.0,0.22444242238998413,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor?",,months,0.009576810523867607,0,0.0,0.0,0.36453211307525635,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",,such                   agreement   shall  be   essentially  on  the  same  terms  and                   conditions as herein provided,0.002984355902299285,0,0.0,0.0,0.10098187625408173,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",,consent of the Company,0.01134705264121294,0,0.0,0.0,0.1415141522884369,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",,Time is of the essence of this Agreement,0.0032595221418887377,0,0.0,0.0,0.16791626811027527,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",,months,0.006617140024900436,0,0.0,0.0,0.36453211307525635,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",,Electric                            City of  Illinois,0.003242332488298416,0,0.0,0.0,0.1457512527704239,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",,months,0.005126285832375288,0,0.0,0.0,0.36453211307525635,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",,Products  do not  cause  harmful  emissions  or other                            environmental  hazards,0.0024838477838784456,0,0.0,0.0,0.02679801546037197,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",,"eighteen





             ",0.009718860499560833,0,0.0,0.0,0.3224417567253113,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","Upon the expiration or termination of                   this  Agreement,  pursuant to Section  4.1 or 4.2 hereof,  the                   Company may, at its option to be  exercised  within 30 days of                   the date of the termination of this Agreement, and in its sole                   discretion,  repurchase  any Products in the possession of the                   Distributor  at the net invoice price paid by the  Distributor                   to  the  Company  less  any  applicable  special   allowances,                   discounts, shipping or allowances for cooperative advertising.",such                   agreement   shall  be   essentially  on  the  same  terms  and                   conditions as herein provided,0.003327388083562255,0,0.06818181818181819,0.23268967874231034,0.35377073287963867,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?","Upon the expiration or termination of                   this  Agreement,  pursuant to Section  4.1 or 4.2 hereof,  the                   Company may, at its option to be  exercised  within 30 days of                   the date of the termination of this Agreement, and in its sole                   discretion,  repurchase  any Products in the possession of the                   Distributor  at the net invoice price paid by the  Distributor                   to  the  Company  less  any  applicable  special   allowances,                   discounts, shipping or allowances for cooperative advertising.",terms,0.0021882231812924147,0,0.0,0.24,0.17414197325706482,Misclassification
